student_id,sex,age,department,subject_name,studytime,failures,absences,final_marks,gpa,university_name
S0019,Male,23,Computer Engineering,Data Visualization,1,0,26,37,4,GSR University
S0019,Male,23,Computer Engineering,Computer Networking,1,0,26,73,8,GSR University
S0019,Male,23,Computer Engineering,Engineering Drawing,1,0,26,40,5,GSR University
S0020,Male,20,Computer Engineering,Engineering Mathematics,2,0,0,88,9,GSR University
S0020,Male,20,Computer Engineering,Programming,2,0,0,66,7,GSR University
S0020,Male,20,Computer Engineering,Engineering Drawing,2,0,0,66,7,GSR University
S0021,Female,18,Computer Engineering,Computer Networking,1,1,16,36,4,GSR University
S0021,Female,18,Computer Engineering,Programming,1,1,16,37,4,GSR University
S0021,Female,18,Computer Engineering,Engineering Drawing,1,1,16,83,9,GSR University
S0022,Male,22,Computer Engineering,Engineering Drawing,4,0,26,88,9,GSR University
S0022,Male,22,Computer Engineering,Computer Networking,4,0,26,57,6,GSR University
S0022,Male,22,Computer Engineering,Engineering Mathematics,4,0,26,71,8,GSR University
S0023,Male,18,Computer Engineering,Programming,3,1,1,40,5,GSR University
S0023,Male,18,Computer Engineering,Computer Networking,3,1,1,66,7,GSR University
S0023,Male,18,Computer Engineering,Data Visualization,3,1,1,89,9,GSR University
S0024,Male,21,Computer Engineering,Programming,3,2,16,56,6,GSR University
S0024,Male,21,Computer Engineering,Computer Networking,3,2,16,45,5,GSR University
S0024,Male,21,Computer Engineering,Data Visualization,3,2,16,82,9,GSR University
S0025,Male,18,Computer Engineering,Programming,4,2,5,53,6,GSR University
S0025,Male,18,Computer Engineering,Data Visualization,4,2,5,60,7,GSR University
S0025,Male,18,Computer Engineering,Engineering Mathematics,4,2,5,37,4,GSR University
S0026,Male,24,Computer Engineering,Engineering Mathematics,4,2,19,74,8,GSR University
S0026,Male,24,Computer Engineering,Data Visualization,4,2,19,35,4,GSR University
S0026,Male,24,Computer Engineering,Computer Networking,4,2,19,45,5,GSR University
S0027,Male,21,Computer Engineering,Programming,1,1,22,50,6,GSR University
S0027,Male,21,Computer Engineering,Engineering Drawing,1,1,22,60,7,GSR University
S0027,Male,21,Computer Engineering,Engineering Mathematics,1,1,22,82,9,GSR University
S0028,Female,18,Computer Engineering,Engineering Drawing,4,0,1,39,4,GSR University
S0028,Female,18,Computer Engineering,Computer Networking,4,0,1,71,8,GSR University
S0028,Female,18,Computer Engineering,Data Visualization,4,0,1,66,7,GSR University
S0029,Male,20,Computer Engineering,Programming,1,0,2,58,6,GSR University
S0029,Male,20,Computer Engineering,Data Visualization,1,0,2,88,9,GSR University
S0029,Male,20,Computer Engineering,Engineering Drawing,1,0,2,90,10,GSR University
S0030,Female,18,Computer Engineering,Computer Networking,4,2,16,82,9,GSR University
S0030,Female,18,Computer Engineering,Programming,4,2,16,59,6,GSR University
S0030,Female,18,Computer Engineering,Engineering Drawing,4,2,16,69,7,GSR University
S0031,Male,18,Computer Engineering,Programming,2,1,17,75,8,GSR University
S0031,Male,18,Computer Engineering,Engineering Mathematics,2,1,17,70,8,GSR University
S0031,Male,18,Computer Engineering,Computer Networking,2,1,17,67,7,GSR University
S0032,Male,21,Computer Engineering,Data Visualization,2,0,15,51,6,GSR University
S0032,Male,21,Computer Engineering,Programming,2,0,15,67,7,GSR University
S0032,Male,21,Computer Engineering,Computer Networking,2,0,15,82,9,GSR University
S0033,Male,21,Computer Engineering,Programming,3,1,22,61,7,GSR University
S0033,Male,21,Computer Engineering,Engineering Mathematics,3,1,22,61,7,GSR University
S0033,Male,21,Computer Engineering,Data Visualization,3,1,22,68,7,GSR University
S0034,Female,22,Computer Engineering,Computer Networking,1,2,0,53,6,GSR University
S0034,Female,22,Computer Engineering,Data Visualization,1,2,0,38,4,GSR University
S0034,Female,22,Computer Engineering,Programming,1,2,0,69,7,GSR University
S0035,Female,18,Computer Engineering,Programming,1,1,28,75,8,GSR University
S0035,Female,18,Computer Engineering,Engineering Mathematics,1,1,28,71,8,GSR University
S0035,Female,18,Computer Engineering,Computer Networking,1,1,28,58,6,GSR University
S0036,Male,22,Computer Engineering,Data Visualization,2,0,2,55,6,GSR University
S0036,Male,22,Computer Engineering,Engineering Drawing,2,0,2,66,7,GSR University
S0036,Male,22,Computer Engineering,Computer Networking,2,0,2,57,6,GSR University
S0037,Female,18,Computer Engineering,Programming,3,1,24,37,4,GSR University
S0037,Female,18,Computer Engineering,Engineering Mathematics,3,1,24,74,8,GSR University
S0037,Female,18,Computer Engineering,Engineering Drawing,3,1,24,80,9,GSR University
S0038,Female,19,Computer Engineering,Programming,3,1,22,36,4,GSR University
S0038,Female,19,Computer Engineering,Engineering Drawing,3,1,22,60,7,GSR University
S0038,Female,19,Computer Engineering,Engineering Mathematics,3,1,22,51,6,GSR University
S0039,Male,18,Computer Engineering,Programming,3,1,15,69,7,GSR University
S0039,Male,18,Computer Engineering,Engineering Mathematics,3,1,15,84,9,GSR University
S0039,Male,18,Computer Engineering,Computer Networking,3,1,15,59,6,GSR University
S0040,Female,22,Computer Engineering,Computer Networking,2,2,24,80,9,GSR University
S0040,Female,22,Computer Engineering,Data Visualization,2,2,24,50,6,GSR University
S0040,Female,22,Computer Engineering,Engineering Drawing,2,2,24,48,5,GSR University
S0041,Male,21,Computer Engineering,Engineering Mathematics,3,2,27,56,6,GSR University
S0041,Male,21,Computer Engineering,Programming,3,2,27,85,9,GSR University
S0041,Male,21,Computer Engineering,Computer Networking,3,2,27,59,6,GSR University
S0042,Male,19,Computer Engineering,Computer Networking,2,0,21,86,9,GSR University
S0042,Male,19,Computer Engineering,Programming,2,0,21,76,8,GSR University
S0042,Male,19,Computer Engineering,Engineering Mathematics,2,0,21,40,5,GSR University
S0043,Female,24,Computer Engineering,Data Visualization,3,0,0,38,4,GSR University
S0043,Female,24,Computer Engineering,Computer Networking,3,0,0,40,5,GSR University
S0043,Female,24,Computer Engineering,Programming,3,0,0,79,8,GSR University
S0044,Female,21,Computer Engineering,Computer Networking,3,2,22,94,10,GSR University
S0044,Female,21,Computer Engineering,Data Visualization,3,2,22,76,8,GSR University
S0044,Female,21,Computer Engineering,Programming,3,2,22,64,7,GSR University
S0045,Male,20,Computer Engineering,Programming,4,2,18,71,8,GSR University
S0045,Male,20,Computer Engineering,Engineering Drawing,4,2,18,60,7,GSR University
S0045,Male,20,Computer Engineering,Computer Networking,4,2,18,87,9,GSR University
S0046,Male,23,Computer Engineering,Engineering Mathematics,3,0,11,35,4,GSR University
S0046,Male,23,Computer Engineering,Computer Networking,3,0,11,81,9,GSR University
S0046,Male,23,Computer Engineering,Data Visualization,3,0,11,68,7,GSR University
S0047,Female,23,Computer Engineering,Computer Networking,4,0,7,73,8,GSR University
S0047,Female,23,Computer Engineering,Data Visualization,4,0,7,39,4,GSR University
S0047,Female,23,Computer Engineering,Engineering Mathematics,4,0,7,56,6,GSR University
S0048,Male,22,Computer Engineering,Engineering Drawing,3,1,15,63,7,GSR University
S0048,Male,22,Computer Engineering,Engineering Mathematics,3,1,15,48,5,GSR University
S0048,Male,22,Computer Engineering,Data Visualization,3,1,15,62,7,GSR University
S0049,Male,22,Computer Engineering,Engineering Drawing,1,1,13,82,9,GSR University
S0049,Male,22,Computer Engineering,Computer Networking,1,1,13,55,6,GSR University
S0049,Male,22,Computer Engineering,Data Visualization,1,1,13,73,8,GSR University
S0050,Male,21,Computer Engineering,Computer Networking,2,1,4,70,8,GSR University
S0050,Male,21,Computer Engineering,Programming,2,1,4,68,7,GSR University
S0050,Male,21,Computer Engineering,Engineering Mathematics,2,1,4,86,9,GSR University
S0051,Female,24,Computer Engineering,Data Visualization,2,2,25,38,4,GSR University
S0051,Female,24,Computer Engineering,Computer Networking,2,2,25,50,6,GSR University
S0051,Female,24,Computer Engineering,Engineering Drawing,2,2,25,58,6,GSR University
S0052,Female,24,Computer Engineering,Programming,1,2,19,67,7,GSR University
S0052,Female,24,Computer Engineering,Engineering Drawing,1,2,19,67,7,GSR University
S0052,Female,24,Computer Engineering,Computer Networking,1,2,19,85,9,GSR University
S0053,Male,20,Computer Engineering,Computer Networking,4,2,0,78,8,GSR University
S0053,Male,20,Computer Engineering,Engineering Drawing,4,2,0,63,7,GSR University
S0053,Male,20,Computer Engineering,Data Visualization,4,2,0,47,5,GSR University
S0054,Male,21,Computer Engineering,Engineering Mathematics,2,1,28,51,6,GSR University
S0054,Male,21,Computer Engineering,Programming,2,1,28,60,7,GSR University
S0054,Male,21,Computer Engineering,Engineering Drawing,2,1,28,42,5,GSR University
S0055,Female,22,Computer Engineering,Engineering Drawing,2,1,29,38,4,GSR University
S0055,Female,22,Computer Engineering,Engineering Mathematics,2,1,29,92,10,GSR University
S0055,Female,22,Computer Engineering,Programming,2,1,29,87,9,GSR University
S0056,Male,19,Computer Engineering,Data Visualization,3,0,23,91,10,GSR University
S0056,Male,19,Computer Engineering,Computer Networking,3,0,23,70,8,GSR University
S0056,Male,19,Computer Engineering,Engineering Drawing,3,0,23,44,5,GSR University
S0057,Male,22,Computer Engineering,Engineering Drawing,4,2,16,73,8,GSR University
S0057,Male,22,Computer Engineering,Programming,4,2,16,66,7,GSR University
S0057,Male,22,Computer Engineering,Data Visualization,4,2,16,58,6,GSR University
S0058,Female,24,Computer Engineering,Data Visualization,4,0,11,59,6,GSR University
S0058,Female,24,Computer Engineering,Engineering Mathematics,4,0,11,69,7,GSR University
S0058,Female,24,Computer Engineering,Engineering Drawing,4,0,11,75,8,GSR University
S0059,Male,23,Computer Engineering,Engineering Mathematics,1,1,19,53,6,GSR University
S0059,Male,23,Computer Engineering,Computer Networking,1,1,19,83,9,GSR University
S0059,Male,23,Computer Engineering,Engineering Drawing,1,1,19,70,8,GSR University
S0060,Male,21,Computer Engineering,Engineering Mathematics,1,2,11,86,9,GSR University
S0060,Male,21,Computer Engineering,Engineering Drawing,1,2,11,53,6,GSR University
S0060,Male,21,Computer Engineering,Data Visualization,1,2,11,92,10,GSR University
S0061,Female,24,Computer Engineering,Data Visualization,1,0,2,70,8,GSR University
S0061,Female,24,Computer Engineering,Engineering Drawing,1,0,2,87,9,GSR University
S0061,Female,24,Computer Engineering,Computer Networking,1,0,2,57,6,GSR University
S0062,Male,18,Computer Engineering,Engineering Mathematics,1,0,9,92,10,GSR University
S0062,Male,18,Computer Engineering,Programming,1,0,9,39,4,GSR University
S0062,Male,18,Computer Engineering,Engineering Drawing,1,0,9,69,7,GSR University
S0063,Male,24,Computer Engineering,Engineering Drawing,3,2,17,78,8,GSR University
S0063,Male,24,Computer Engineering,Computer Networking,3,2,17,51,6,GSR University
S0063,Male,24,Computer Engineering,Data Visualization,3,2,17,72,8,GSR University
S0064,Female,24,Computer Engineering,Programming,1,1,8,39,4,GSR University
S0064,Female,24,Computer Engineering,Engineering Mathematics,1,1,8,63,7,GSR University
S0064,Female,24,Computer Engineering,Engineering Drawing,1,1,8,71,8,GSR University
S0065,Male,23,Computer Engineering,Data Visualization,4,0,0,59,6,GSR University
S0065,Male,23,Computer Engineering,Engineering Drawing,4,0,0,79,8,GSR University
S0065,Male,23,Computer Engineering,Computer Networking,4,0,0,38,4,GSR University
S0066,Female,21,Computer Engineering,Computer Networking,4,2,18,61,7,GSR University
S0066,Female,21,Computer Engineering,Programming,4,2,18,44,5,GSR University
S0066,Female,21,Computer Engineering,Data Visualization,4,2,18,60,7,GSR University
S0067,Male,20,Computer Engineering,Programming,2,2,12,54,6,GSR University
S0067,Male,20,Computer Engineering,Computer Networking,2,2,12,62,7,GSR University
S0067,Male,20,Computer Engineering,Engineering Mathematics,2,2,12,42,5,GSR University
S0068,Male,22,Computer Engineering,Engineering Drawing,1,2,0,94,10,GSR University
S0068,Male,22,Computer Engineering,Engineering Mathematics,1,2,0,83,9,GSR University
S0068,Male,22,Computer Engineering,Data Visualization,1,2,0,59,6,GSR University
S0069,Female,18,Computer Engineering,Data Visualization,1,1,25,81,9,GSR University
S0069,Female,18,Computer Engineering,Computer Networking,1,1,25,55,6,GSR University
S0069,Female,18,Computer Engineering,Engineering Drawing,1,1,25,50,6,GSR University
S0070,Male,23,Computer Engineering,Engineering Mathematics,3,0,3,81,9,GSR University
S0070,Male,23,Computer Engineering,Data Visualization,3,0,3,75,8,GSR University
S0070,Male,23,Computer Engineering,Programming,3,0,3,83,9,GSR University
S0071,Male,23,Computer Engineering,Data Visualization,3,0,20,45,5,GSR University
S0071,Male,23,Computer Engineering,Programming,3,0,20,46,5,GSR University
S0071,Male,23,Computer Engineering,Engineering Drawing,3,0,20,44,5,GSR University
S0072,Female,23,Computer Engineering,Programming,4,0,7,92,10,GSR University
S0072,Female,23,Computer Engineering,Computer Networking,4,0,7,94,10,GSR University
S0072,Female,23,Computer Engineering,Engineering Drawing,4,0,7,84,9,GSR University
S0073,Female,21,Computer Engineering,Engineering Mathematics,1,0,3,43,5,GSR University
S0073,Female,21,Computer Engineering,Programming,1,0,3,67,7,GSR University
S0073,Female,21,Computer Engineering,Engineering Drawing,1,0,3,87,9,GSR University
S0074,Male,21,Computer Engineering,Engineering Mathematics,4,0,12,85,9,GSR University
S0074,Male,21,Computer Engineering,Engineering Drawing,4,0,12,39,4,GSR University
S0074,Male,21,Computer Engineering,Data Visualization,4,0,12,81,9,GSR University
S0075,Female,18,Computer Engineering,Data Visualization,2,1,17,90,10,GSR University
S0075,Female,18,Computer Engineering,Engineering Drawing,2,1,17,67,7,GSR University
S0075,Female,18,Computer Engineering,Engineering Mathematics,2,1,17,88,9,GSR University
S0076,Female,18,Computer Engineering,Engineering Drawing,4,2,16,59,6,GSR University
S0076,Female,18,Computer Engineering,Engineering Mathematics,4,2,16,56,6,GSR University
S0076,Female,18,Computer Engineering,Data Visualization,4,2,16,93,10,GSR University
S0077,Male,20,Computer Engineering,Data Visualization,1,0,1,55,6,GSR University
S0077,Male,20,Computer Engineering,Engineering Drawing,1,0,1,82,9,GSR University
S0077,Male,20,Computer Engineering,Engineering Mathematics,1,0,1,89,9,GSR University
S0078,Female,23,Computer Engineering,Data Visualization,1,0,4,87,9,GSR University
S0078,Female,23,Computer Engineering,Engineering Mathematics,1,0,4,71,8,GSR University
S0078,Female,23,Computer Engineering,Engineering Drawing,1,0,4,44,5,GSR University
S0079,Male,19,Computer Engineering,Engineering Mathematics,1,0,13,79,8,GSR University
S0079,Male,19,Computer Engineering,Computer Networking,1,0,13,47,5,GSR University
S0079,Male,19,Computer Engineering,Engineering Drawing,1,0,13,38,4,GSR University
S0080,Male,23,Computer Engineering,Programming,1,1,27,88,9,GSR University
S0080,Male,23,Computer Engineering,Computer Networking,1,1,27,37,4,GSR University
S0080,Male,23,Computer Engineering,Engineering Mathematics,1,1,27,93,10,GSR University
S0081,Female,19,Computer Engineering,Computer Networking,1,1,11,91,10,GSR University
S0081,Female,19,Computer Engineering,Programming,1,1,11,51,6,GSR University
S0081,Female,19,Computer Engineering,Engineering Mathematics,1,1,11,82,9,GSR University
S0082,Male,24,Computer Engineering,Computer Networking,3,2,4,85,9,GSR University
S0082,Male,24,Computer Engineering,Programming,3,2,4,73,8,GSR University
S0082,Male,24,Computer Engineering,Engineering Mathematics,3,2,4,72,8,GSR University
S0083,Female,21,Computer Engineering,Engineering Mathematics,2,1,1,85,9,GSR University
S0083,Female,21,Computer Engineering,Programming,2,1,1,68,7,GSR University
S0083,Female,21,Computer Engineering,Computer Networking,2,1,1,86,9,GSR University
S0084,Female,18,Computer Engineering,Engineering Drawing,1,2,27,63,7,GSR University
S0084,Female,18,Computer Engineering,Engineering Mathematics,1,2,27,38,4,GSR University
S0084,Female,18,Computer Engineering,Programming,1,2,27,44,5,GSR University
S0085,Female,18,Computer Engineering,Computer Networking,1,0,1,77,8,GSR University
S0085,Female,18,Computer Engineering,Engineering Mathematics,1,0,1,77,8,GSR University
S0085,Female,18,Computer Engineering,Programming,1,0,1,82,9,GSR University
S0086,Male,20,Computer Engineering,Engineering Mathematics,3,0,22,66,7,GSR University
S0086,Male,20,Computer Engineering,Engineering Drawing,3,0,22,37,4,GSR University
S0086,Male,20,Computer Engineering,Programming,3,0,22,61,7,GSR University
S0087,Female,22,Computer Engineering,Data Visualization,2,0,25,52,6,GSR University
S0087,Female,22,Computer Engineering,Engineering Mathematics,2,0,25,62,7,GSR University
S0087,Female,22,Computer Engineering,Programming,2,0,25,76,8,GSR University
S0088,Female,22,Computer Engineering,Engineering Mathematics,1,1,0,68,7,GSR University
S0088,Female,22,Computer Engineering,Computer Networking,1,1,0,83,9,GSR University
S0088,Female,22,Computer Engineering,Data Visualization,1,1,0,48,5,GSR University
S0089,Male,19,Computer Engineering,Engineering Mathematics,3,0,25,81,9,GSR University
S0089,Male,19,Computer Engineering,Data Visualization,3,0,25,90,10,GSR University
S0089,Male,19,Computer Engineering,Engineering Drawing,3,0,25,64,7,GSR University
S0090,Male,20,Computer Engineering,Computer Networking,4,0,16,83,9,GSR University
S0090,Male,20,Computer Engineering,Engineering Drawing,4,0,16,69,7,GSR University
S0090,Male,20,Computer Engineering,Programming,4,0,16,86,9,GSR University
S0091,Male,24,Computer Engineering,Programming,3,1,13,58,6,GSR University
S0091,Male,24,Computer Engineering,Engineering Drawing,3,1,13,36,4,GSR University
S0091,Male,24,Computer Engineering,Computer Networking,3,1,13,79,8,GSR University
S0092,Female,19,Computer Engineering,Programming,3,2,6,77,8,GSR University
S0092,Female,19,Computer Engineering,Data Visualization,3,2,6,81,9,GSR University
S0092,Female,19,Computer Engineering,Engineering Mathematics,3,2,6,94,10,GSR University
S0093,Female,22,Computer Engineering,Data Visualization,2,1,2,71,8,GSR University
S0093,Female,22,Computer Engineering,Engineering Mathematics,2,1,2,62,7,GSR University
S0093,Female,22,Computer Engineering,Programming,2,1,2,44,5,GSR University
S0094,Male,24,Computer Engineering,Engineering Mathematics,1,2,21,47,5,GSR University
S0094,Male,24,Computer Engineering,Computer Networking,1,2,21,54,6,GSR University
S0094,Male,24,Computer Engineering,Programming,1,2,21,59,6,GSR University
S0095,Female,21,Computer Engineering,Programming,3,0,12,68,7,GSR University
S0095,Female,21,Computer Engineering,Engineering Drawing,3,0,12,81,9,GSR University
S0095,Female,21,Computer Engineering,Engineering Mathematics,3,0,12,42,5,GSR University
S0096,Female,18,Computer Engineering,Programming,3,1,8,68,7,GSR University
S0096,Female,18,Computer Engineering,Computer Networking,3,1,8,93,10,GSR University
S0096,Female,18,Computer Engineering,Engineering Mathematics,3,1,8,90,10,GSR University
S0097,Male,20,Computer Engineering,Computer Networking,2,0,24,40,5,GSR University
S0097,Male,20,Computer Engineering,Engineering Mathematics,2,0,24,40,5,GSR University
S0097,Male,20,Computer Engineering,Data Visualization,2,0,24,89,9,GSR University
S0098,Female,21,Computer Engineering,Data Visualization,3,1,29,65,7,GSR University
S0098,Female,21,Computer Engineering,Engineering Drawing,3,1,29,74,8,GSR University
S0098,Female,21,Computer Engineering,Engineering Mathematics,3,1,29,71,8,GSR University
S0099,Female,21,Computer Engineering,Programming,3,1,1,49,5,GSR University
S0099,Female,21,Computer Engineering,Data Visualization,3,1,1,40,5,GSR University
S0099,Female,21,Computer Engineering,Computer Networking,3,1,1,88,9,GSR University
S0100,Female,18,Computer Engineering,Engineering Mathematics,4,1,18,42,5,GSR University
S0100,Female,18,Computer Engineering,Engineering Drawing,4,1,18,60,7,GSR University
S0100,Female,18,Computer Engineering,Computer Networking,4,1,18,85,9,GSR University
S0101,Female,22,Computer Engineering,Engineering Drawing,1,1,25,83,9,GSR University
S0101,Female,22,Computer Engineering,Data Visualization,1,1,25,46,5,GSR University
S0101,Female,22,Computer Engineering,Programming,1,1,25,81,9,GSR University
S0102,Female,18,Computer Engineering,Data Visualization,2,1,4,37,4,GSR University
S0102,Female,18,Computer Engineering,Engineering Mathematics,2,1,4,67,7,GSR University
S0102,Female,18,Computer Engineering,Programming,2,1,4,40,5,GSR University
S0103,Female,19,Computer Engineering,Computer Networking,2,0,22,74,8,GSR University
S0103,Female,19,Computer Engineering,Programming,2,0,22,36,4,GSR University
S0103,Female,19,Computer Engineering,Engineering Drawing,2,0,22,54,6,GSR University
S0104,Male,18,Computer Engineering,Engineering Drawing,1,0,16,72,8,GSR University
S0104,Male,18,Computer Engineering,Data Visualization,1,0,16,89,9,GSR University
S0104,Male,18,Computer Engineering,Engineering Mathematics,1,0,16,69,7,GSR University
S0105,Male,23,Computer Engineering,Programming,1,0,29,87,9,GSR University
S0105,Male,23,Computer Engineering,Computer Networking,1,0,29,90,10,GSR University
S0105,Male,23,Computer Engineering,Data Visualization,1,0,29,45,5,GSR University
S0106,Female,18,Computer Engineering,Engineering Drawing,4,2,2,63,7,GSR University
S0106,Female,18,Computer Engineering,Computer Networking,4,2,2,42,5,GSR University
S0106,Female,18,Computer Engineering,Data Visualization,4,2,2,45,5,GSR University
S0107,Male,18,Computer Engineering,Data Visualization,2,1,2,93,10,GSR University
S0107,Male,18,Computer Engineering,Computer Networking,2,1,2,48,5,GSR University
S0107,Male,18,Computer Engineering,Engineering Mathematics,2,1,2,60,7,GSR University
S0108,Female,23,Computer Engineering,Engineering Drawing,1,0,9,48,5,GSR University
S0108,Female,23,Computer Engineering,Engineering Mathematics,1,0,9,66,7,GSR University
S0108,Female,23,Computer Engineering,Computer Networking,1,0,9,85,9,GSR University
S0109,Female,22,Computer Engineering,Data Visualization,1,2,14,81,9,GSR University
S0109,Female,22,Computer Engineering,Computer Networking,1,2,14,89,9,GSR University
S0109,Female,22,Computer Engineering,Engineering Mathematics,1,2,14,36,4,GSR University
S0110,Male,23,Computer Engineering,Engineering Drawing,4,2,6,41,5,GSR University
S0110,Male,23,Computer Engineering,Programming,4,2,6,85,9,GSR University
S0110,Male,23,Computer Engineering,Engineering Mathematics,4,2,6,42,5,GSR University
S0111,Female,19,Computer Engineering,Computer Networking,4,2,14,61,7,GSR University
S0111,Female,19,Computer Engineering,Engineering Mathematics,4,2,14,70,8,GSR University
S0111,Female,19,Computer Engineering,Data Visualization,4,2,14,63,7,GSR University
S0112,Male,23,Computer Engineering,Engineering Mathematics,1,0,4,38,4,GSR University
S0112,Male,23,Computer Engineering,Data Visualization,1,0,4,56,6,GSR University
S0112,Male,23,Computer Engineering,Programming,1,0,4,36,4,GSR University
S0113,Male,19,Computer Engineering,Programming,3,1,0,79,8,GSR University
S0113,Male,19,Computer Engineering,Data Visualization,3,1,0,58,6,GSR University
S0113,Male,19,Computer Engineering,Engineering Mathematics,3,1,0,86,9,GSR University
S0114,Male,24,Computer Engineering,Computer Networking,4,0,28,61,7,GSR University
S0114,Male,24,Computer Engineering,Data Visualization,4,0,28,65,7,GSR University
S0114,Male,24,Computer Engineering,Programming,4,0,28,85,9,GSR University
S0115,Female,20,Computer Engineering,Engineering Mathematics,4,1,10,44,5,GSR University
S0115,Female,20,Computer Engineering,Data Visualization,4,1,10,74,8,GSR University
S0115,Female,20,Computer Engineering,Engineering Drawing,4,1,10,72,8,GSR University
S0116,Female,23,Computer Engineering,Engineering Drawing,3,2,25,74,8,GSR University
S0116,Female,23,Computer Engineering,Programming,3,2,25,52,6,GSR University
S0116,Female,23,Computer Engineering,Data Visualization,3,2,25,59,6,GSR University
S0117,Male,18,Computer Engineering,Computer Networking,4,2,11,71,8,GSR University
S0117,Male,18,Computer Engineering,Data Visualization,4,2,11,42,5,GSR University
S0117,Male,18,Computer Engineering,Programming,4,2,11,76,8,GSR University
S0118,Female,18,Computer Engineering,Engineering Mathematics,3,1,8,75,8,GSR University
S0118,Female,18,Computer Engineering,Engineering Drawing,3,1,8,56,6,GSR University
